LineId,Time,Program,Content,EventId,EventTemplate
1,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
2,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
3,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
4,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
5,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
6,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
7,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
8,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
9,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
10,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
11,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
12,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
13,10.30 16:49:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1228 bytes (1.19 KB) sent, 0 bytes received, lifetime <1 sec",1,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>"
14,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
15,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
16,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
17,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
18,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
19,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
20,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
21,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
22,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
23,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
24,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
25,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
26,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
27,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
28,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
29,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
30,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
31,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
32,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
33,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
34,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
35,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
36,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
37,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
38,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
39,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
40,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
41,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
42,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
43,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
44,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
45,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
46,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
47,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
48,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
49,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1036 bytes (1.01 KB) sent, 34151 bytes (33.3 KB) received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
50,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1040 bytes (1.01 KB) sent, 15872 bytes (15.5 KB) received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
51,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1066 bytes (1.04 KB) sent, 1782 bytes (1.74 KB) received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
52,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1060 bytes (1.03 KB) sent, 1633 bytes (1.59 KB) received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
53,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1091 bytes (1.06 KB) sent, 367 bytes received, lifetime <1 sec",1,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>"
54,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1097 bytes (1.07 KB) sent, 366 bytes received, lifetime <1 sec",1,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>"
55,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1052 bytes (1.02 KB) sent, 8362 bytes (8.16 KB) received, lifetime <1 sec",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
56,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1124 bytes (1.09 KB) sent, 529 bytes received, lifetime <1 sec",1,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>"
57,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
58,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2,<*> open through proxy <*> HTTPS
