EventId,EventTemplate,Occurrences
0,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",7178
1,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",1147
2,<*> open through proxy <*> HTTPS,10219
3,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",1887
4,<*> open through proxy <*> SOCKS5,8
5,<*> error : A connection request was canceled before the completion.,305
6,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,14
7,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",233
8,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,134
9,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,195
